INDICATOR,Indicator
MNCH_MLRACT,"Malaria, first line treatment - percentage of febrile children (under age 5) receiving ACT (first line antimalarial drug), among those receiving any antimalarial drugs"
MNCH_MLRCARE,Careseeking for febrile children - percentage of children (under age 5) with fever for whom advice or treatment was sought from a health facility or provider
MNCH_MLRDIAG,Malaria diagnostics - percentage of febrile children (under age 5) who had a finger or heel stick for malaria testing
MNCH_MMR,"Maternal mortality ratio (number of maternal deaths per 100,000 live births)"
MNCH_ORS,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS (packets or pre-packaged fluids)
MNCH_ORSZINC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORS and zinc
MNCH_ORTCF,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received ORT (oral rehydration salts or recommended homemade fluids or increased fluids) and continued feeding
MNCH_PNCMOM,Postnatal care for mothers - percentage of women (aged 15-49 years) who received postnatal care within 2 days of giving birth
MNCH_PNCNB,Postnatal care for newborns - percentage of newborns who have a postnatal contact with a health provider within 2 days of delivery
MNCH_PNEUCARE,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider
MNCH_SAB,Skilled birth attendant - percentage of deliveries attended by skilled health personnel
MNCH_UHC,Coverage of essential health services
MNCH_UHC_RMNCH,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions"
MNCH_ZINC,Diarrhoea treatment - percentage of children (under age 5) with diarrhoea who received zinc
NT_ANE_WOM_15_49_MOD,Prevalence of anaemia in women aged 15-49 (Modeled Estimates)
NT_ANT_HAZ_NE2,Height-for-age <-2 SD (stunting)
NT_ANT_HAZ_NE2_MOD,"Height-for-age <-2 SD (stunting), Modeled Estimates"
NT_ANT_HAZ_NE2_MOD_NUMTH,"Height-for-age <-2 SD (Stunting) Modeled Estimates, Numbers Affected"
NT_ANT_WAZ_NE2,Weight-for-age <-2 SD (Underweight)
NT_ANT_WHZ_NE2,Weight-for-height <-2 SD (wasting)
NT_ANT_WHZ_NE3,Weight-for-height <-3 SD (severe wasting)
NT_ANT_WHZ_PO2,Weight-for-height >+2 SD (overweight)
NT_ANT_WHZ_PO2_MOD,"Weight-for-height >+2 SD (overweight), Modeled Estimates"
NT_ANT_WHZ_PO2_MOD_NUMTH,"Weight-for-height >+2 SD (Overweight) Modeled Estimates, Numbers Affected"
NT_BF_CBF_12_23,Continued breastfeeding (12-23 months)
NT_BF_EBF,Ever breastfed (0-23 months)
NT_BF_EIBF,Early initiation of breastfeeding
NT_BF_EXBF,Exclusive breastfeeding (0-5 months)
NT_BF_EXBF_2D,Exclusively Breastfed for the First Two Days After Birth
